"","V1","V2","V3","V4","V5","V6","headline","date","url","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51"
"5155","Arbeitsmarkt","Kurzarbeit","Coronavirus","Bundesagentur fÃ¼r Arbeit","Hubertus Heil","Gehalt","Wirtschaft Unternehmen","2020-04-09T13:41:26.645504+00:00","http://xml.zeit.de/wirtschaft/unternehmen/2020-04/kurzarbeit-arbeitsmarkt-steigerung-corona-krise","Deutscher Gewerkschaftsbund",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5156","Coronavirus","Abitur","Homeschooling","Gymnasium",NA,NA,"no","2020-04-09T12:54:30.731650+00:00","http://xml.zeit.de/gesellschaft/schule/2020-04/abiturpruefungen-schule-coronavirus-schulabschluss-klausuren-bayern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5157","AuÃŸenhandel","Coronavirus","Export","Pandemie","China","WTO","no","2020-04-09T13:24:20.452190+00:00","http://xml.zeit.de/wirtschaft/2020-04/deutscher-export-aussenhandel-corona-krise-china","Exportwirtschaft","Deutschland","Covid-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5158","Coronavirus","Pandemie","Wirtschaftswachstum","Kapitalismus","Kapitalmarkt",NA,"no","2020-04-09T12:37:31.658395+00:00","http://xml.zeit.de/kultur/2020-04/pandemie-coronavirus-kapitalismus-wirtschaft-wachstum-deutschland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5159","Scheidung","Familienleben","Coronavirus","Social Distancing",NA,NA,"no","2020-08-27T14:04:35.545122+00:00","http://xml.zeit.de/entdecken/2020-04/trennungskinder-coronavirus-wechselmodell-eltern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5160","Coronavirus","Infektion","Social Distancing","Ausgangssperre","Max-Planck-Institut","AusgangsbeschrÃ¤nkung","yes","2020-04-09T09:56:42.955799+00:00","http://xml.zeit.de/wissen/2020-04/max-planck-institut-corona-exit-strategie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5161","Coronavirus","RKI","Jens Spahn","Franziska Giffey","Gesundheitsministerium","Bundesregierung","yes","2020-04-09T11:53:43.775650+00:00","http://xml.zeit.de/wissen/2020-04/coronavirus-rki-jens-spahn-franziska-giffey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5162","WHO","Coronavirus","Gesundheitssystem","Immunsystem","Impfung",NA,"yes","2020-04-09T11:53:18.985469+00:00","http://xml.zeit.de/wissen/gesundheit/2020-04/sars-cov-2-impfstoff-forschung-beschleunigung-coronavirus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5163","Coronavirus","Social Distancing","Mundschutz","Mode","Berlin",NA,"no","2020-08-27T13:48:17.890513+00:00","http://xml.zeit.de/zeit-magazin/mode-design/2020-04/mundschutz-infektionsschutz-ansteckung-gesichtsmaske-mode",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5164","Sojus","ISS","Internationale Raumstation","Raumfahrt","QuarantÃ¤ne","Astronaut","yes","2020-04-09T11:13:39.610889+00:00","http://xml.zeit.de/wissen/2020-04/internationale-raumstation-iss-astronauten-usa-russland","Coronavirus","Pandemie","Virus","Weltraumfahrt","Covid-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
