"","V1","V2","V3","V4","V5","V6","headline","date","url","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51"
"1","Impfung","Coronavirus","Pandemie","Neuinfektion","Covid-19","Virus","Wissen Gesundheit","2020-10-16T11:35:13.072184+00:00","http://xml.zeit.de/wissen/gesundheit/2020-10/coronavirus-aktuell-neuinfektionen-covid-19-ausbreitung-live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Coronavirus","RKI","Neuinfektion","Gesundheitsamt","Pandemie","Infektionszahl","yes","2021-01-02T08:07:15.756532+00:00","http://xml.zeit.de/wissen/gesundheit/2021-01/coronavirus-neuinfektionen-rki-gesundheitsaemter-neujahr","Covid-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Coronavirus","Reisen","Ausstellung","Kulturbetrieb","Kunst","Globalisierung","yes","2021-01-01T18:06:01.395002+00:00","http://xml.zeit.de/zeit-magazin/2020/51/hans-ulrich-obrist-corona-reisen-nachtzuege-kunst-kulturbetrieb","Pandemie","Zug","Hans Ulrich Obrist","Nachtzug",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Coronavirus","Reisen","Ausstellung","Kulturbetrieb","Kunst","Globalisierung","yes","2021-01-01T18:06:01.395002+00:00","http://xml.zeit.de/2021/01/corona-intensivstation-asklepios-klinikum-harburg-hamburg-spezialisierung-lungenkrankheiten-aerzte","Pandemie","Zug","Hans Ulrich Obrist","Nachtzug",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Coronavirus","Pandemie","Psyche","Film","Kino","Lockdown","yes","2020-12-30T19:20:04.519270+00:00","http://xml.zeit.de/kultur/2020-12/corona-pandemie-transitbereich-filme-flughafen-feststecken-terminal-tom-hanks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Pandemie","Coronavirus","JahresrÃ¼ckblick","Emotion","Jahresende",NA,"yes","2020-12-30T18:07:20.920351+00:00","http://xml.zeit.de/zeit-magazin/leben/2020-12/jahresrueckblick-2020-coronavirus-jahresende-gefuehlslage-pandemie-schoenreden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Coronavirus","GroÃŸbritannien","Pandemie","Intensivstation","Gesundheitssystem","Impfstoff","yes","2021-01-04T07:28:57.758494+00:00","http://xml.zeit.de/politik/ausland/2020-12/coronavirus-grossbritannien-impfungen-infektionszahlen-gesundheitssystem-nhs","Matt Hancock","Andrew Pollard","London","Oxford","Pfizer","AstraZeneca","Virus","Lockdown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Coronavirus","Pandemie","Statistik","Statistisches Bundesamt","Jens BÃ¼ttner","Sterblichkeit","yes","2020-12-30T16:48:00.281311+00:00","http://xml.zeit.de/wissen/gesundheit/2020-12/statistisches-bundesamt-sterbefallzahlen-november-2020-anstieg","Sterbefallzahl","Behandlungszimmer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Coronavirus","Frauen","Christine Hohmann-Dennhardt","Gleichberechtigung","Weihnachten","ManagergehÃ¤lter","no","2020-12-30T16:06:33.396188+00:00","http://xml.zeit.de/politik/deutschland/2020-12/christine-hohmann-dennhardt-lockdown-corona-massnahmen-gleichberechtigung-frauenquote-partiaetsgesetz","Gender-Pay-Gap","Jan-Philipp Strobel","Bundesverfassungsgericht","Lockdown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Coronavirus","Corona-Impfung","Bundesregierung","Gesundheitssystem","Logistik","Jens Spahn","yes","2020-12-30T16:30:49.356604+00:00","http://xml.zeit.de/politik/deutschland/2020-12/corona-impfung-lieferung-impfstoff-bundeslaender-gesundheitssystem-logistik","Brandenburg","Deutschland","Sachsen-Anhalt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Coronavirus","Schule","Bundesregierung","Lehrer","Eltern","Lockdown","yes","2020-12-30T15:42:59.673256+00:00","http://xml.zeit.de/gesellschaft/schule/2020-12/schulbetrieb-schulbeginn-2021-lockdown-lehrer-gewerkschaft-schueler",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Irrtum","Pandemie","Coronavirus","Alpen","Skispringen","Schweiz","yes","2020-12-30T13:54:46.249114+00:00","http://xml.zeit.de/gesellschaft/2020-12/corona-pandemie-2020-groesste-irrtuemer-politikpodcast","Alpenland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","JahresrÃ¼ckblick","Coronavirus","Donald Trump","Joe Biden","Annegret Kramp-Karrenbauer","Markus SÃ¶der","no","2020-12-30T16:19:45.682513+00:00","http://xml.zeit.de/politik/2020-12/2020-jahresrueckblick-coronavirus-donald-trump-klimakrise","Klimakrise","Wuhan","Lockdown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Pandemie","Weihnachten","Coronavirus","Heiligabend","Lockdown","Feiertag","free","Dieter Puhl;Theresa BrÃ¼ckner;Nora Bossong;Stephan Anpalagan;Dorothee BÃ¤r;Stefan JÃ¼rgens;Rainer Maria SchieÃŸler;Hanna Jacobs","http://xml.zeit.de/2021/01/weihnachten-corona-lockdown-feiertage-weihnachtsfest","Weihnachtsfest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Coronavirus","Jens Spahn","Lothar Wieler","RKI","Corona-Impfung","Pandemie","yes","2020-12-30T12:43:42.473018+00:00","http://xml.zeit.de/wissen/gesundheit/2020-12/jens-spahn-rki-pressekonferenz-corona-impfstart-lockdown","Impfkampagne","Totenzahl","Virus","Todesfall","Lockdown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Corona-Impfung","Jens Spahn","RKI","Impfung","Lothar Wieler","Coronavirus","yes","2020-12-30T10:00:13.157394+00:00","http://xml.zeit.de/politik/deutschland/2020-12/corona-impfstart-jens-spahn-lothar-wieler-rki-livestream","Livestream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","GroÃŸbritannien","AstraZeneca","Corona-Impfung","Coronavirus","UniversitÃ¤t Oxford","Zulassung","yes","2020-12-30T14:36:55.348024+00:00","http://xml.zeit.de/politik/ausland/2020-12/grossbritannien-corona-impfstoff-zulassung-astrazeneca-oxford-universitaet","Impfstoff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Covid-19","Coronavirus","Pandemie","Lockdown","Gesundheitswesen","ProblembewÃ¤ltigung","yes","2020-12-30T11:35:43.004033+00:00","http://xml.zeit.de/wissen/gesundheit/2020-12/corona-pandemie-krisen-problembewaeltigung-deutschland-ausnahmezustand-gewoehnung","Krisenmanagement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Coronavirus","Pandemie","Arbeitslosigkeit","Armut","Soziale Ungleichheit","Demokratie","no","2020-12-30T09:53:42.649597+00:00","http://xml.zeit.de/wirtschaft/2020-12/soziale-ungerechtigkeit-pandemie-coronavirus-arbeit-gesundheitssytem-hilfsprogramm","Krise","Laufen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Boris Palmer","Datenschutz","TÃ¼bingen","Coronavirus","Technologie","Taiwan","Z+ Archiv","2020-12-29T16:00:18.301130+00:00","http://xml.zeit.de/2021/01/corona-kontaktverfolgung-taiwan-suedkorea-app-datentechnologie","Datentechnologie","Kontaktverfolgung","Virus","Infektionszahl","Inzidenz","Lockdown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Coronavirus","RKI","Intensivstation","Infektion","Todesfall","Pandemie","no","2020-12-30T08:45:04.009955+00:00","http://xml.zeit.de/wissen/gesundheit/2020-12/coronavirus-neuinfektionen-rki-gesundheitsaemter-rekordwert-todesfaelle","Covid - 19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Coronavirus","US-Senat","Donald Trump","Mitch Mcconnell","Georgia","Joe Biden","yes","2020-12-30T11:23:36.343427+00:00","http://xml.zeit.de/politik/ausland/2020-12/usa-donald-trump-republikaner-streit-corona-hilfe-mitch-mcconnell","Hilfszahlung","USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Coronavirus","Pandemie","Abitur","FÃ¼hrerschein","Jugendliche","Einschulung","yes","yes","http://xml.zeit.de/gesellschaft/zeitgeschehen/2020-12/corona-pandemie-einschulung-abitur-geburtstage-alter-jugend-versaeumnisse","Abiball","Lebensereignis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Bulimie","EssstÃ¶rung","Psychotherapie","Psychologie","Home Office","Coronavirus","yes","2021-01-06T07:50:23.549412+00:00","http://xml.zeit.de/arbeit/2020-12/essstoerungen-corona-pandemie-bulimie-rueckfall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Krisenpolitik","Pandemie","Coronavirus","Politikstil","Christian Lindner","Krisenmanagement","Politik Deutschland","2020-12-29T16:00:50.518969+00:00","http://xml.zeit.de/2021/01/corona-krise-poltik-wissenschaft-krisenmanagement-demokratie","Krise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Improvisation","Astronaut","Schauspieler","Coronavirus","Pandemie","KrisenbewÃ¤ltigung","Instagram;Gesellschaft Zeitgeschehen","2020-12-29T16:00:41.478935+00:00","http://xml.zeit.de/2021/01/improvisation-corona-krisenpolitik-2020-apollo-13-mission-ronald-reagan","Schnapsbrennen","Krisenmanagement","Krisenpolitik","Krise","Improvisationskunst",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Jugendliche","Psyche","Pandemie","Schweiz","Coronavirus","Anorexie","Wissen Gesundheit;Doctor;Z+ Schwede;Z+ Archiv","2020-12-29T15:59:13.132689+00:00","http://xml.zeit.de/2021/01/jugend-corona-krise-psychsiche-gesundheit-kinderpsychatrie","psychische StÃ¶rung","Gesundheit","Jugendpsychiatrie","Lockdown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Emotion","Coronavirus","Pandemie","Til Schweiger","Zufriedenheit",NA,"zeit-magazin leben","2020-12-29T15:59:02.022462+00:00","http://xml.zeit.de/zeit-magazin/2021/01/harald-martenstein-corona-krise-hund-gefuehle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Coronavirus","Laura Elisabeth","NÃ¼rnberg","Oslo","Russland","Moskau","online_ir_import_197666","no","http://xml.zeit.de/2021/01/kinder-2020-corona-krise-kontaktbeschraenkungen-schule-wuensche","Argentinien","China","USA","Virus","kochen","Familie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Coronavirus","Laura Elisabeth","NÃ¼rnberg","Oslo","Russland","Moskau","online_ir_import_197666","no","http://xml.zeit.de/politik/deutschland/2020-12/corona-impfung-privilegien-geimpfte-coronavirus-verbot","Argentinien","China","USA","Virus","kochen","Familie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Baden-WÃ¼rttemberg","Verfassungsschutz","Rechtsextremismus","Demokratie","Querdenken","Protest","Gesellschaft","2020-12-29T14:20:36.426702+00:00","http://xml.zeit.de/gesellschaft/2020-12/verfassungsschutz-querdenken-711-baden-wuerttemberg-verschwoerungstheorien-rechtsextremismus","Coronavirus","Stuttgart","AfD","Neonazi","Rechtsextremisten","Revolution",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Coronavirus","Geisterspiel","Dazn","AuthentizitÃ¤t","AtmosphÃ¤re","Fankultur","no","2020-12-29T13:08:56.570748+00:00","http://xml.zeit.de/sport/2020-12/geisterspiele-fan-atmosphaere-dazn-sport-corona-pandemie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Coronavirus","Corona-Impfung","AHA - Regeln","Mundschutz","Pandemie","USA","yes","2020-12-29T13:35:53.690788+00:00","http://xml.zeit.de/2021/01/corona-impfungen-virologen-mutation-grossbritannien-herdenimmunitaet-usa","GroÃŸbritannien","HerdenimmunitÃ¤t","Virologie","Impfkampagne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Corona-Impfung","Jens Spahn","Coronavirus","Pandemie","Impfpass","HerdenimmunitÃ¤t","yes","2020-12-29T13:25:25.634956+00:00","http://xml.zeit.de/gesellschaft/2020-12/corona-impfung-debatte-freiwillig-pflicht-herdenimmunitaet-impfpass-impfverweigerer-eigenverantwortung","Lockdown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Rechtsextremismus","Demonstration","Querdenken","Coronavirus","Rassismus","VerschwÃ¶rungstheorie","no","ZEDE","http://xml.zeit.de/gesellschaft/zeitgeschehen/2020-12/rechtsextremismus-2020-corona-demonstrationen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Coronavirus","Psychotherapie","Pandemie","Infektion","AngststÃ¶rung","Zukunftsangst","yes","2020-12-29T09:52:27.702825+00:00","http://xml.zeit.de/wissen/gesundheit/2021-01/corona-pandemie-aengste-psychologie-unsicherheit-furcht-umgang-bewaeltigung",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Intensivstation","Krankenhaus","Pflege","Corona-Impfung","Coronavirus","Pflegekraft","yes","2020-12-29T10:03:35.389616+00:00","http://xml.zeit.de/gesellschaft/2020-12/intensivstation-krankenhaus-pflegekraefte-personalmangel-corona-pandemie","Personalmangel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Coronavirus","Arzt","Reiner Keller","Bad Aibling","Gesundheitsschutz","Coronatest","yes","2020-12-29T08:21:53.208155+00:00","http://xml.zeit.de/zeit-magazin/2020/54/reiner-keller-arzt-corona-tests-rettung","Bayern","Baustelle","Rettung",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Nato","Jens Stoltenberg","Virus","Terrorismus","Pandemie","Coronavirus","yes","2020-12-29T08:13:29.734089+00:00","http://xml.zeit.de/politik/ausland/2020-12/coronavirus-pandemie-nato-biowaffen-abwehr-ausbau-terroranschlaege","Biowaffenabwehr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Psychologie","Coronavirus","Reisen","Offenheit","SpontanitÃ¤t","Planbarkeit","yes","2020-12-29T06:08:03.762527+00:00","http://xml.zeit.de/zeit-wissen/2021/01/ungewissheit-planen-2020-zufall-spontanitaet-offenheit","Ungewissheit","Lockdown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Coronavirus","Sozialpolitik","Neuseeland","Auckland","UNICEF","Jacinda Ardern","yes","2021-01-04T20:56:59.886441+00:00","http://xml.zeit.de/politik/ausland/2020-12/jacinda-ardern-neuseeland-premierministerin-sozialpolitik-corona","Hausbau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Coronavirus","RKI","Neuinfektion","Infektion",NA,NA,"Wissen Gesundheit","2020-12-28T23:35:46.258610+00:00","http://xml.zeit.de/wissen/gesundheit/2020-12/coronavirus-neuinfektionen-rki-gesundheitsaemter-anstieg-todesfaelle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Coronavirus","RKI","Neuinfektion","Infektion",NA,NA,"Wissen Gesundheit","2020-12-28T23:35:46.258610+00:00","http://xml.zeit.de/wissen/gesundheit/2020-12/coronavirus-neuinfektionen-rki-gesundheitsaemter-anstieg-todesfaelle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","BioNTech","Corona-Impfung","Impfung","Pfizer","Coronavirus","Impfstoff","Wissen Gesundheit","2020-12-28T17:43:08.850907+00:00","http://xml.zeit.de/wissen/gesundheit/2020-12/corona-impfstart-pannen-deutschland-impfdosis-impfung-pflegekraefte-stralsund","Jens Spahn","Stralsund","Covid - 19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Ã–sterreich","Coronavirus","Wintersport","Pandemie","Alpen","Skigebiet","yes","2020-12-29T07:47:38.994780+00:00","http://xml.zeit.de/gesellschaft/zeitgeschehen/2020-12/corona-pandemie-oesterreich-skigebiete-verschaerfung-regeln-wintersport","Skilift","Corona-MaÃŸnahmen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Coronavirus","JahresrÃ¼ckblick","Geschichte","Einzelhandel","Digitalisierung","Harald Martenstein","zeit-magazin leben","2020-12-22T15:45:03.239954+00:00","http://xml.zeit.de/zeit-magazin/2020/54/harald-martenstein-2020-schoene-momente",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Ã–sterreich","Wirtschaftskrise","Coronavirus","Arbeitsmarkt","Ã–konomie","QuarantÃ¤ne","yes","2020-12-28T15:55:42.554286+00:00","http://xml.zeit.de/2020/54/martin-kocher-oekonom-corona-lockdown-folgen-wirtschaft-oesterreich","Lockdown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Lockdown","Pandemie","Shutdown","Coronavirus","MinisterprÃ¤sident","Helge Braun","Politik Deutschland","2020-12-28T15:44:25.707999+00:00","http://xml.zeit.de/politik/deutschland/2020-12/corona-krise-lockdown-verlaengerung-ministerpraesidenten-stefan-weil","Impfung","Deutschland","Covid - 19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Coronavirus",NA,NA,NA,NA,NA,"yes","2020-12-28T22:59:15.993969+00:00","http://xml.zeit.de/wirtschaft/2020-12/wuhan-corona-pandemie-ursprung-untersuchung-who-zensur-china",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Corona-Impfung","Impfung","Coronavirus","Europa","Mexiko","Impfstart","2020-12-28T13:34:40.474138+00:00","F","http://xml.zeit.de/wissen/gesundheit/2020-12/impfstart-coronavirus-pandemie-europa-mexiko-fs","Pandemie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
